Regiao;Estado;Municipio;Revenda;CNPJ;Produto;Data da Coleta;Valor de Venda;Bandeira
SE;SP;MOGI DAS CRUZES;AUTO POSTO MOGIANO LTDA; 02.518.746/0001-17;ETANOL;02/01/2025;3,79;BRANCA
SE;SP;MOGI DAS CRUZES;POSTO TORRE LESTE LTDA; 02.183.537/0001-60;GASOLINA;02/01/2025;6,29;IPIRANGA
SE;SP;MOGI DAS CRUZES;POSTO TORRE LESTE LTDA; 02.183.537/0001-60;DIESEL S10;02/01/2025;6,19;IPIRANGA
SE;SP;MOGI DAS CRUZES;POSTO TORRE LESTE LTDA; 02.183.537/0001-60;ETANOL;02/01/2025;4,09;IPIRANGA
SE;SP;MOGI DAS CRUZES;POSTO DE SERVICOS TIGRE DO VALE LTDA; 01.519.037/0001-93;DIESEL S10;02/01/2025;6,09;RAIZEN
SE;SP;MOGI DAS CRUZES;POSTO DE SERVICOS TIGRE DO VALE LTDA; 01.519.037/0001-93;ETANOL;02/01/2025;3,99;RAIZEN
SE;SP;MOGI DAS CRUZES;POSTO DE SERVICOS TIGRE DO VALE LTDA; 01.519.037/0001-93;GASOLINA;02/01/2025;5,97;RAIZEN
SE;SP;OURINHOS;CARLOS EDUARDO MACHADO OURINHOS; 05.240.496/0001-94;GASOLINA;02/01/2025;5,89;BRANCA
SE;SP;OURINHOS;CARLOS EDUARDO MACHADO OURINHOS; 05.240.496/0001-94;DIESEL S10;02/01/2025;5,99;BRANCA
SE;SP;OURINHOS;CARLOS EDUARDO MACHADO OURINHOS; 05.240.496/0001-94;ETANOL;02/01/2025;3,89;BRANCA
SE;SP;SAO PAULO;AUTO POSTO SYSTEM LTDA; 09.305.931/0001-72;GASOLINA;02/01/2025;5,85;IPIRANGA
SE;SP;SAO PAULO;AUTO POSTO SYSTEM LTDA; 09.305.931/0001-72;DIESEL S10;02/01/2025;5,99;IPIRANGA
SE;SP;SAO PAULO;AUTO POSTO SYSTEM LTDA; 09.305.931/0001-72;ETANOL;02/01/2025;3,89;IPIRANGA
SE;SP;SAO PAULO;AUTO POSTO PLASMA LTDA; 09.116.262/0001-90;GASOLINA;02/01/2025;5,29;BRANCA
SE;SP;SAO PAULO;AUTO POSTO PLASMA LTDA; 09.116.262/0001-90;ETANOL;02/01/2025;3,49;BRANCA
SE;SP;SAO PAULO;ARGETAX ADMINISTRACAO E PARTICIPACOES EM EMPREENDIMENTOS COMERCIAIS LTDA; 04.383.988/0005-08;GASOLINA;02/01/2025;5,79;IPIRANGA
SE;SP;SAO PAULO;ARGETAX ADMINISTRACAO E PARTICIPACOES EM EMPREENDIMENTOS COMERCIAIS LTDA; 04.383.988/0005-08;DIESEL S10;02/01/2025;5,79;IPIRANGA
SE;SP;SAO PAULO;ARGETAX ADMINISTRACAO E PARTICIPACOES EM EMPREENDIMENTOS COMERCIAIS LTDA; 04.383.988/0005-08;ETANOL;02/01/2025;3,79;IPIRANGA
SE;SP;SAO PAULO;AUTO POSTO DUQUE SALIM MALUF LTDA.; 07.846.558/0001-31;GASOLINA;02/01/2025;7,99;VIBRA
SE;SP;SAO PAULO;AUTO POSTO DUQUE SALIM MALUF LTDA.; 07.846.558/0001-31;DIESEL S10;02/01/2025;5,99;VIBRA
SE;SP;SAO PAULO;AUTO POSTO DUQUE SALIM MALUF LTDA.; 07.846.558/0001-31;ETANOL;02/01/2025;3,77;VIBRA
SE;SP;SAO PAULO;AUTO POSTO DUQUE BERRINI LTDA.; 07.846.563/0001-44;GASOLINA;02/01/2025;7,99;VIBRA
SE;SP;SAO PAULO;AUTO POSTO DUQUE BERRINI LTDA.; 07.846.563/0001-44;DIESEL S10;02/01/2025;8,49;VIBRA
SE;SP;SAO PAULO;AUTO POSTO DUQUE BERRINI LTDA.; 07.846.563/0001-44;ETANOL;02/01/2025;5,89;VIBRA
SE;SP;SAO PAULO;BRISTOL AUTO POSTO E SERVICOS LTDA.; 07.717.314/0001-59;GASOLINA;02/01/2025;6,39;RAIZEN
SE;SP;SAO PAULO;BRISTOL AUTO POSTO E SERVICOS LTDA.; 07.717.314/0001-59;DIESEL S10;02/01/2025;5,89;RAIZEN
SE;SP;SAO PAULO;BRISTOL AUTO POSTO E SERVICOS LTDA.; 07.717.314/0001-59;ETANOL;02/01/2025;3,99;RAIZEN
